candidate_id,resume_text,years_experience,education_level,gpa,internal_candidate,referral,num_skills_listed,department_applied,source,outcome_90day_vol
C0016,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 8 years of professional experience. Oversaw strategic planning operations and drove risk assessment improvements. Designed and executed risk assessment frameworks supporting Human Resources objectives. SKILLS: training development, Microsoft Office, regulatory compliance, SQL, risk assessment, Python, strategic planning.",8,Bachelor of Science,3.44,1,0,7,Research,Career Site,0
C0017,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 12 years of professional experience. Spearheaded Microsoft Office programs that enhanced data analysis outcomes. Led Microsoft Office initiatives resulting in improved operational efficiency across Product. Spearheaded data analysis programs that enhanced data analysis outcomes. SKILLS: Microsoft Office, data analysis, communication.",12,Bachelor of Science,3.43,1,1,3,Customer Service,Referral,0
C0018,"EDUCATION: Master of Business Administration. EXPERIENCE: 19 years of professional experience. Led team leadership initiatives resulting in improved operational efficiency across Engineering. Collaborated with cross-functional teams on stakeholder management and team leadership projects. SKILLS: team leadership, budgeting, stakeholder management, agile methodology.",19,Master of Business Administration,2.84,0,1,4,Engineering,Career Site,0
C0019,"EDUCATION: Master of Business Administration. EXPERIENCE: 18 years of professional experience. Led financial analysis initiatives resulting in improved operational efficiency across IT. Collaborated with cross-functional teams on agile methodology and financial analysis projects. Collaborated with cross-functional teams on agile methodology and agile methodology projects. Developed and implemented process improvement strategies for the Engineering division. SKILLS: agile methodology, process improvement, team leadership, problem solving, financial analysis.",18,Master of Business Administration,3.83,1,0,5,Finance,Job Board,0
C0020,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 16 years of professional experience. Designed and executed Microsoft Office frameworks supporting Operations objectives. Spearheaded data analysis programs that enhanced training development outcomes. SKILLS: Microsoft Office, training development, strategic planning, data analysis.",16,Master of Science,2.91,0,1,4,Finance,Career Site,0
C0021,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 21 years of professional experience. Collaborated with cross-functional teams on data analysis and data analysis projects. Managed a team of 3 employees in Communications department. Responsible for data analysis and quality assurance. Spearheaded quality assurance programs that enhanced quality assurance outcomes. SKILLS: data analysis, risk assessment, quality assurance.",21,Master of Science,2.53,0,0,3,Product,Referral,0
C0022,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 23 years of professional experience. Spearheaded business development programs that enhanced agile methodology outcomes. Spearheaded agile methodology programs that enhanced business development outcomes. Collaborated with cross-functional teams on agile methodology and agile methodology projects. SKILLS: agile methodology, business development, communication.",23,Master of Science,3.38,0,0,3,Sales,Referral,0
C0023,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 3 years of professional experience. Led data analysis initiatives resulting in improved operational efficiency across Marketing. Developed and implemented stakeholder management strategies for the IT division. SKILLS: training development, regulatory compliance, data analysis, project management, Python, stakeholder management.",3,Bachelor of Science,4.0,0,0,6,Marketing,Referral,0
C0024,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 16 years of professional experience. Oversaw risk assessment operations and drove team leadership improvements. Oversaw SQL operations and drove quality assurance improvements. Developed and implemented customer service strategies for the Customer Service division. Oversaw agile methodology operations and drove agile methodology improvements. SKILLS: agile methodology, risk assessment, customer service, team leadership, quality assurance, communication, SQL.",16,Master of Science,3.02,1,1,7,Legal,Career Site,0
C0025,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 10 years of professional experience. Spearheaded budgeting programs that enhanced SQL outcomes. Managed a team of 10 employees in Supply Chain department. Responsible for training development and training development. Managed a team of 3 employees in Product department. Responsible for business development and Microsoft Office. Developed and implemented risk assessment strategies for the Engineering division. SKILLS: business development, risk assessment, SQL, team leadership, Microsoft Office, budgeting, quality assurance, training development.",10,Master of Science,2.92,0,1,8,IT,Job Board,0
C0026,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 7 years of professional experience. Led risk assessment initiatives resulting in improved operational efficiency across Customer Service. Developed and implemented agile methodology strategies for the Customer Service division. Spearheaded agile methodology programs that enhanced budgeting outcomes. SKILLS: risk assessment, project management, agile methodology, training development, budgeting, regulatory compliance.",7,Master of Science,2.82,1,0,6,Finance,Career Site,0
C0027,"EDUCATION: Associate Degree in Business. EXPERIENCE: 13 years of professional experience. Oversaw customer service operations and drove data analysis improvements. Collaborated with cross-functional teams on stakeholder management and data analysis projects. Collaborated with cross-functional teams on business development and regulatory compliance projects. Designed and executed stakeholder management frameworks supporting Human Resources objectives. SKILLS: business development, stakeholder management, regulatory compliance, data analysis, customer service.",13,Associate Degree,2.94,1,1,5,IT,Campus,0
C0028,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 1 years of professional experience. Developed and implemented process improvement strategies for the Risk Management division. Collaborated with cross-functional teams on regulatory compliance and data analysis projects. SKILLS: data analysis, SQL, process improvement, regulatory compliance, quality assurance, agile methodology.",1,Bachelor of Science,3.2,1,1,6,Operations,Career Site,0
C0029,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 18 years of professional experience. Managed a team of 17 employees in Marketing department. Responsible for stakeholder management and stakeholder management. Developed and implemented Microsoft Office strategies for the Marketing division. Led team leadership initiatives resulting in improved operational efficiency across Risk Management. SKILLS: training development, Microsoft Office, stakeholder management, data analysis, team leadership, communication.",18,Bachelor of Science,2.57,0,1,6,Human Resources,Referral,0
C0030,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 2 years of professional experience. Developed and implemented project management strategies for the Finance division. Spearheaded problem solving programs that enhanced problem solving outcomes. Spearheaded problem solving programs that enhanced budgeting outcomes. Led project management initiatives resulting in improved operational efficiency across IT. SKILLS: data analysis, problem solving, quality assurance, budgeting, strategic planning, project management, SQL, process improvement.",2,Master of Science,2.61,1,0,8,Legal,Referral,0
C0031,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 21 years of professional experience. Collaborated with cross-functional teams on communication and project management projects. Developed and implemented project management strategies for the Engineering division. Managed a team of 6 employees in IT department. Responsible for project management and strategic planning. SKILLS: communication, project management, strategic planning, process improvement, training development.",21,Master of Science,3.27,0,0,5,Communications,Job Board,0
C0032,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 13 years of professional experience. Managed a team of 5 employees in Sales department. Responsible for financial analysis and regulatory compliance. Designed and executed quality assurance frameworks supporting Communications objectives. Oversaw project management operations and drove stakeholder management improvements. Developed and implemented agile methodology strategies for the Risk Management division. SKILLS: quality assurance, regulatory compliance, process improvement, Microsoft Office, agile methodology, stakeholder management, financial analysis, project management.",13,Bachelor of Arts,2.99,0,1,8,Communications,Career Site,0
C0033,"EDUCATION: Bachelor of Science in Computer Science. EXPERIENCE: 24 years of professional experience. Developed and implemented business development strategies for the Operations division. Managed a team of 14 employees in Research department. Responsible for customer service and business development. Led customer service initiatives resulting in improved operational efficiency across Communications. SKILLS: Python, budgeting, strategic planning, customer service, business development.",24,Bachelor of Science,3.35,1,0,5,Risk Management,Agency,0
C0034,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 9 years of professional experience. Developed and implemented training development strategies for the Human Resources division. Collaborated with cross-functional teams on communication and Python projects. Led Python initiatives resulting in improved operational efficiency across Finance. SKILLS: training development, Python, stakeholder management, communication.",9,Bachelor of Science,3.13,1,0,4,Communications,Referral,0
C0035,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 3 years of professional experience. Spearheaded data analysis programs that enhanced communication outcomes. Led stakeholder management initiatives resulting in improved operational efficiency across Supply Chain. SKILLS: risk assessment, customer service, communication, data analysis, stakeholder management, project management, process improvement.",3,Bachelor of Arts,3.57,1,1,7,Human Resources,Career Site,0
C0036,"EDUCATION: Bachelor of Arts in Communications. EXPERIENCE: 15 years of professional experience. Oversaw data analysis operations and drove customer service improvements. Designed and executed regulatory compliance frameworks supporting Supply Chain objectives. Oversaw regulatory compliance operations and drove strategic planning improvements. SKILLS: strategic planning, regulatory compliance, customer service, data analysis, team leadership.",15,Bachelor of Arts,3.39,0,0,5,Operations,Career Site,0
C0037,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 25 years of professional experience. Led SQL initiatives resulting in improved operational efficiency across Product. Spearheaded process improvement programs that enhanced problem solving outcomes. SKILLS: budgeting, agile methodology, strategic planning, business development, problem solving, SQL, process improvement, financial analysis.",25,Bachelor of Science,2.98,0,0,8,Operations,Job Board,0
C0038,"EDUCATION: Associate Degree in Business. EXPERIENCE: 9 years of professional experience. Spearheaded Microsoft Office programs that enhanced Microsoft Office outcomes. Led Microsoft Office initiatives resulting in improved operational efficiency across Engineering. Collaborated with cross-functional teams on Microsoft Office and Microsoft Office projects. Spearheaded Microsoft Office programs that enhanced data analysis outcomes. SKILLS: communication, data analysis, Microsoft Office, stakeholder management.",9,Associate Degree,2.64,1,0,4,Customer Service,Referral,0
C0039,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 12 years of professional experience. Developed and implemented Microsoft Office strategies for the Supply Chain division. Led problem solving initiatives resulting in improved operational efficiency across Engineering. SKILLS: problem solving, project management, data analysis, Microsoft Office, regulatory compliance, Python, stakeholder management.",12,Bachelor of Science,3.56,0,1,7,Risk Management,Referral,0
C0040,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 3 years of professional experience. Developed and implemented budgeting strategies for the Operations division. Designed and executed budgeting frameworks supporting Supply Chain objectives. SKILLS: budgeting, stakeholder management, risk assessment.",3,Bachelor of Science,2.74,0,1,3,Operations,Campus,0
C0041,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 4 years of professional experience. Designed and executed quality assurance frameworks supporting Operations objectives. Oversaw budgeting operations and drove quality assurance improvements. Led quality assurance initiatives resulting in improved operational efficiency across Risk Management. Developed and implemented strategic planning strategies for the Marketing division. SKILLS: budgeting, quality assurance, team leadership, strategic planning, data analysis.",4,Master of Science,3.6,0,0,5,Engineering,Referral,0
C0042,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 14 years of professional experience. Collaborated with cross-functional teams on team leadership and team leadership projects. Managed a team of 16 employees in Supply Chain department. Responsible for quality assurance and business development. SKILLS: Microsoft Office, team leadership, quality assurance, business development.",14,Bachelor of Science,3.45,0,0,4,Sales,Career Site,0
C0043,"EDUCATION: Bachelor of Science in Computer Science. EXPERIENCE: 16 years of professional experience. Collaborated with cross-functional teams on communication and financial analysis projects. Managed a team of 10 employees in Human Resources department. Responsible for financial analysis and customer service. Collaborated with cross-functional teams on customer service and risk assessment projects. Led risk assessment initiatives resulting in improved operational efficiency across Operations. SKILLS: process improvement, risk assessment, quality assurance, problem solving, financial analysis, stakeholder management, customer service, communication.",16,Bachelor of Science,3.55,0,0,8,Supply Chain,Agency,0
C0044,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 10 years of professional experience. Spearheaded Python programs that enhanced risk assessment outcomes. Spearheaded stakeholder management programs that enhanced Python outcomes. Collaborated with cross-functional teams on Python and stakeholder management projects. SKILLS: risk assessment, business development, stakeholder management, Python.",10,Bachelor of Science,3.87,0,0,4,Engineering,Career Site,0
C0045,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 19 years of professional experience. Spearheaded Microsoft Office programs that enhanced Python outcomes. Spearheaded budgeting programs that enhanced budgeting outcomes. SKILLS: Python, strategic planning, data analysis, financial analysis, budgeting, Microsoft Office.",19,Master of Science,2.53,0,0,6,Supply Chain,Referral,0
C0046,"EDUCATION: Bachelor of Arts in Communications. EXPERIENCE: 25 years of professional experience. Managed a team of 4 employees in Customer Service department. Responsible for agile methodology and team leadership. Spearheaded strategic planning programs that enhanced team leadership outcomes. Designed and executed agile methodology frameworks supporting Engineering objectives. Developed and implemented strategic planning strategies for the Sales division. SKILLS: agile methodology, team leadership, strategic planning.",25,Bachelor of Arts,2.87,0,1,3,Finance,Career Site,0
C0047,"EDUCATION: Associate Degree in Business. EXPERIENCE: 13 years of professional experience. Managed a team of 8 employees in Engineering department. Responsible for quality assurance and project management. Led quality assurance initiatives resulting in improved operational efficiency across Finance. Managed a team of 15 employees in Research department. Responsible for quality assurance and project management. SKILLS: project management, quality assurance, customer service.",13,Associate Degree,3.73,0,0,3,Engineering,Career Site,0
C0048,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 1 years of professional experience. Oversaw team leadership operations and drove team leadership improvements. Oversaw quality assurance operations and drove business development improvements. SKILLS: team leadership, business development, quality assurance.",1,Master of Science,3.68,0,0,3,Legal,Career Site,1
C0049,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 16 years of professional experience. Developed and implemented financial analysis strategies for the Human Resources division. Spearheaded SQL programs that enhanced data analysis outcomes. Spearheaded budgeting programs that enhanced project management outcomes. SKILLS: project management, financial analysis, SQL, budgeting, Microsoft Office, data analysis, communication.",16,Bachelor of Science,3.99,0,0,7,Supply Chain,Referral,0
C0050,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 13 years of professional experience. Collaborated with cross-functional teams on Python and process improvement projects. Oversaw training development operations and drove financial analysis improvements. SKILLS: process improvement, training development, customer service, budgeting, Python, financial analysis.",13,Bachelor of Science,3.96,1,1,6,Human Resources,Job Board,0
C0051,"EDUCATION: Bachelor of Science in Accounting. EXPERIENCE: 16 years of professional experience. Oversaw regulatory compliance operations and drove Python improvements. Developed and implemented training development strategies for the Engineering division. Designed and executed risk assessment frameworks supporting Finance objectives. Spearheaded problem solving programs that enhanced risk assessment outcomes. SKILLS: problem solving, Microsoft Office, risk assessment, Python, team leadership, training development, regulatory compliance.",16,Bachelor of Science,3.54,1,1,7,Communications,Referral,0
C0052,"EDUCATION: Bachelor of Science in Computer Science. EXPERIENCE: 17 years of professional experience. Designed and executed strategic planning frameworks supporting Human Resources objectives. Managed a team of 15 employees in Marketing department. Responsible for regulatory compliance and risk assessment. Led risk assessment initiatives resulting in improved operational efficiency across Supply Chain. Led risk assessment initiatives resulting in improved operational efficiency across Risk Management. SKILLS: risk assessment, training development, business development, strategic planning, Python, problem solving, regulatory compliance.",17,Bachelor of Science,3.83,0,1,7,Product,Campus,0
C0053,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 1 years of professional experience. Managed a team of 16 employees in Engineering department. Responsible for communication and communication. Spearheaded risk assessment programs that enhanced risk assessment outcomes. Developed and implemented risk assessment strategies for the Research division. SKILLS: quality assurance, risk assessment, communication, stakeholder management.",1,Master of Science,3.28,0,1,4,Engineering,Job Board,0
C0054,"EDUCATION: Bachelor of Science in Computer Science. EXPERIENCE: 1 years of professional experience. Collaborated with cross-functional teams on communication and budgeting projects. Managed a team of 12 employees in Supply Chain department. Responsible for Microsoft Office and Microsoft Office. Oversaw communication operations and drove strategic planning improvements. SKILLS: budgeting, Microsoft Office, strategic planning, communication, problem solving, SQL.",1,Bachelor of Science,2.64,0,0,6,IT,Career Site,0
C0055,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 7 years of professional experience. Developed and implemented regulatory compliance strategies for the IT division. Developed and implemented Python strategies for the Engineering division. Oversaw Python operations and drove problem solving improvements. SKILLS: business development, problem solving, team leadership, process improvement, Python, regulatory compliance.",7,Bachelor of Science,2.65,0,0,6,Sales,Career Site,0
C0056,"EDUCATION: Bachelor of Arts in Communications. EXPERIENCE: 19 years of professional experience. Spearheaded agile methodology programs that enhanced communication outcomes. Led SQL initiatives resulting in improved operational efficiency across Finance. Managed a team of 7 employees in Marketing department. Responsible for SQL and communication. Designed and executed problem solving frameworks supporting Operations objectives. SKILLS: problem solving, SQL, customer service, communication, agile methodology.",19,Bachelor of Arts,2.71,0,0,5,Communications,Referral,0
C0057,"EDUCATION: Associate Degree in Business. EXPERIENCE: 13 years of professional experience. Designed and executed financial analysis frameworks supporting Supply Chain objectives. Developed and implemented customer service strategies for the Operations division. Spearheaded regulatory compliance programs that enhanced strategic planning outcomes. SKILLS: stakeholder management, risk assessment, strategic planning, financial analysis, customer service, regulatory compliance.",13,Associate Degree,3.57,0,0,6,Risk Management,Career Site,0
C0058,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 21 years of professional experience. Led risk assessment initiatives resulting in improved operational efficiency across Risk Management. Designed and executed SQL frameworks supporting Supply Chain objectives. Spearheaded SQL programs that enhanced risk assessment outcomes. SKILLS: training development, budgeting, risk assessment, SQL, customer service, quality assurance.",21,Master of Science,2.77,0,0,6,Supply Chain,Referral,0
C0059,"EDUCATION: Associate Degree in Business. EXPERIENCE: 7 years of professional experience. Spearheaded Microsoft Office programs that enhanced budgeting outcomes. Developed and implemented process improvement strategies for the Finance division. SKILLS: Microsoft Office, budgeting, process improvement.",7,Associate Degree,2.55,0,0,3,Engineering,Career Site,0
C0060,"EDUCATION: Bachelor of Science in Business Administration. EXPERIENCE: 23 years of professional experience. Spearheaded data analysis programs that enhanced financial analysis outcomes. Oversaw agile methodology operations and drove risk assessment improvements. Developed and implemented data analysis strategies for the IT division. SKILLS: risk assessment, agile methodology, data analysis, SQL, quality assurance, strategic planning, project management, financial analysis.",23,Bachelor of Science,3.81,1,1,8,Marketing,Campus,0
C0061,"EDUCATION: Bachelor of Science in Computer Science. EXPERIENCE: 21 years of professional experience. Managed a team of 13 employees in Human Resources department. Responsible for data analysis and customer service. Designed and executed data analysis frameworks supporting Research objectives. Managed a team of 13 employees in Risk Management department. Responsible for data analysis and customer service. Oversaw data analysis operations and drove customer service improvements. SKILLS: stakeholder management, customer service, data analysis.",21,Bachelor of Science,3.27,0,0,3,Research,Agency,0
C0062,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 3 years of professional experience. Collaborated with cross-functional teams on communication and data analysis projects. Oversaw data analysis operations and drove process improvement improvements. SKILLS: stakeholder management, data analysis, team leadership, Microsoft Office, communication, process improvement.",3,Bachelor of Science,3.62,0,0,6,Risk Management,Referral,0
C0063,"EDUCATION: Bachelor of Arts in Communications. EXPERIENCE: 4 years of professional experience. Collaborated with cross-functional teams on SQL and financial analysis projects. Managed a team of 5 employees in Marketing department. Responsible for training development and financial analysis. Led training development initiatives resulting in improved operational efficiency across IT. SKILLS: financial analysis, SQL, training development.",4,Bachelor of Arts,3.65,0,1,3,Communications,Referral,0
C0064,"EDUCATION: Master of Business Administration. EXPERIENCE: 24 years of professional experience. Developed and implemented budgeting strategies for the Supply Chain division. Developed and implemented budgeting strategies for the Legal division. SKILLS: Microsoft Office, process improvement, budgeting.",24,Master of Business Administration,2.77,1,0,3,Marketing,Agency,0
C0065,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 10 years of professional experience. Oversaw strategic planning operations and drove Microsoft Office improvements. Developed and implemented customer service strategies for the Operations division. Spearheaded budgeting programs that enhanced budgeting outcomes. SKILLS: strategic planning, stakeholder management, Python, Microsoft Office, SQL, budgeting, customer service.",10,Bachelor of Arts,3.75,1,1,7,Finance,Career Site,0
C0066,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 7 years of professional experience. Oversaw strategic planning operations and drove problem solving improvements. Designed and executed stakeholder management frameworks supporting Human Resources objectives. Led Microsoft Office initiatives resulting in improved operational efficiency across Sales. SKILLS: agile methodology, communication, training development, Microsoft Office, stakeholder management, problem solving, strategic planning.",7,Bachelor of Science,2.55,1,0,7,Human Resources,Career Site,0
C0067,"EDUCATION: Master of Science in Human Resources. EXPERIENCE: 22 years of professional experience. Managed a team of 13 employees in Supply Chain department. Responsible for problem solving and business development. Developed and implemented budgeting strategies for the Marketing division. Developed and implemented problem solving strategies for the Research division. Developed and implemented budgeting strategies for the Marketing division. SKILLS: problem solving, risk assessment, communication, budgeting, strategic planning, business development, financial analysis.",22,Master of Science,2.78,0,1,7,Finance,Career Site,0
C0068,"EDUCATION: Master of Science in Data Analytics. EXPERIENCE: 9 years of professional experience. Developed and implemented training development strategies for the Product division. Developed and implemented risk assessment strategies for the Sales division. Collaborated with cross-functional teams on stakeholder management and risk assessment projects. Collaborated with cross-functional teams on risk assessment and budgeting projects. SKILLS: business development, budgeting, stakeholder management, agile methodology, risk assessment, training development.",9,Master of Science,3.88,0,0,6,IT,Career Site,0
C0069,"EDUCATION: Bachelor of Science in Finance. EXPERIENCE: 25 years of professional experience. Designed and executed project management frameworks supporting Product objectives. Collaborated with cross-functional teams on communication and training development projects. SKILLS: quality assurance, Microsoft Office, communication, training development, strategic planning, agile methodology, project management, data analysis.",25,Bachelor of Science,3.82,0,1,8,Engineering,Career Site,0
C0070,"EDUCATION: Master of Business Administration. EXPERIENCE: 24 years of professional experience. Led Python initiatives resulting in improved operational efficiency across Risk Management. Collaborated with cross-functional teams on team leadership and Microsoft Office projects. SKILLS: team leadership, problem solving, Python, Microsoft Office, stakeholder management.",24,Master of Business Administration,3.32,1,1,5,Legal,Career Site,0
C0071,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 11 years of professional experience. Collaborated with cross-functional teams on data analysis and data analysis projects. Spearheaded business development programs that enhanced Microsoft Office outcomes. SKILLS: Microsoft Office, risk assessment, agile methodology, budgeting, Python, training development, data analysis, business development.",11,Bachelor of Arts,2.83,0,0,8,IT,Career Site,0
C0072,"EDUCATION: Associate Degree in Business. EXPERIENCE: 1 years of professional experience. Spearheaded process improvement programs that enhanced process improvement outcomes. Collaborated with cross-functional teams on process improvement and regulatory compliance projects. Collaborated with cross-functional teams on strategic planning and process improvement projects. Collaborated with cross-functional teams on regulatory compliance and strategic planning projects. SKILLS: Python, process improvement, regulatory compliance, strategic planning.",1,Associate Degree,3.51,0,0,4,Product,Referral,0
C0073,"EDUCATION: Bachelor of Arts in Psychology. EXPERIENCE: 13 years of professional experience. Spearheaded SQL programs that enhanced stakeholder management outcomes. Oversaw stakeholder management operations and drove SQL improvements. Led problem solving initiatives resulting in improved operational efficiency across Marketing. Collaborated with cross-functional teams on stakeholder management and problem solving projects. SKILLS: SQL, stakeholder management, problem solving.",13,Bachelor of Arts,3.94,0,0,3,Legal,Referral,0
C0074,"EDUCATION: Bachelor of Science in Computer Science. EXPERIENCE: 17 years of professional experience. Designed and executed stakeholder management frameworks supporting Supply Chain objectives. Developed and implemented financial analysis strategies for the Communications division. Spearheaded regulatory compliance programs that enhanced data analysis outcomes. SKILLS: data analysis, financial analysis, stakeholder management, SQL, customer service, regulatory compliance.",17,Bachelor of Science,2.73,0,0,6,Operations,Campus,0
